,symbol,MIS_margin_X_times,CNC_margin_X_times
1362,SPMLINFRA,0,1
1363,SPTL,0,1
1364,SREEL,7,1
1365,SREINFRA,0,1
1366,SRF,10,3
1367,SRHHYPOLTD,7,2
1368,SRIPIPES,10,2
1369,SRTRANSFIN,10,2
1370,SSWL,7,1
1371,STAR,10,2
1372,STARCEMENT,10,3
1373,STARPAPER,7,2
1374,STCINDIA,7,2
1375,STEELXIND,7,2
1376,STEL,7,1
1377,STERTOOLS,7,1
1378,STLTECH,10,2
1379,SUBEXLTD,7,2
1380,SUBROS,10,2
1381,SUDARSCHEM,10,3
1382,SUJANAUNI,0,1
1383,SUMEETINDS,0,1
1384,SUMICHEM,10,3
1385,SUMMITSEC,7,1
1386,SUNCLAYLTD,5,2
1387,SUNDARAM,0,1
1388,SUNDARMFIN,7,1
1389,SUNDRMBRAK,1,1
1390,SUNDRMFAST,10,3
1391,SUNFLAG,10,2
1392,SUNPHARMA,10,3
1393,SUNTECK,10,2
1394,SUNTV,10,2
1395,SUPERHOUSE,7,2
1396,SUPERSPIN,0,1
1397,SUPPETRO,5,1
1398,SUPRAJIT,10,3
1399,SUPREMEIND,10,3
1400,SUPREMEINF,0,1
1401,SURANASOL,0,1
1402,SURANAT&P,0,1
1403,SURYALAXMI,1,1
1404,SURYAROSNI,5,1
1405,SUTLEJTEX,1,2
1406,SUVEN,5,2
1407,SUVENPHAR,10,3
1408,SUZLON,0,1
1409,SWANENERGY,10,3
1410,SWARAJENG,10,3
1411,SWELECTES,7,2
1412,SWSOLAR,10,2
1413,SYMPHONY,10,3
1414,SYNCOM,0,1
1415,SYNGENE,10,3
1416,TAINWALCHM,7,2
1417,TAJGVK,10,2
1418,TAKE,10,3
1419,TALBROAUTO,7,2
1420,TANLA,0,1
1421,TANTIACONS,0,1
1422,TARMAT,7,2
1423,TASTYBITE,10,3
1424,TATACHEM,10,3
1425,TATACOFFEE,10,3
1426,TATACOMM,10,3
1427,TATACONSUM,10,3
1428,TATAELXSI,10,3
1429,TATAINVEST,10,3
1430,TATAMETALI,10,3
1431,TATAMOTORS,10,2
1432,TATAMTRDVR,10,2
1433,TATAPOWER,10,3
1434,TATASTEEL,10,3
1435,TATASTLBSL,7,1
1436,TATASTLLP,10,2
1437,TATASTLPP,1,1
1438,TBZ,7,2
1439,TCI,10,3
1440,TCIDEVELOP,7,2
1441,TCIEXP,10,3
1442,TCIFINANCE,0,1
1443,TCNSBRANDS,10,3
1444,TCPLPACK,7,2
1445,TCS,10,3
1446,TDPOWERSYS,7,1
1447,TEAMLEASE,10,3
1448,TECHM,10,3
1449,TECHNOE,10,3
1450,TECHNOFAB,0,1
1451,TEJASNET,10,2
1452,TERASOFT,7,2
1453,TEXINFRA,7,2
1454,TEXMOPIPES,1,1
1455,TEXRAIL,10,2
1456,TFCILTD,7,1
1457,TFL,0,1
1458,TGBHOTELS,0,1
1459,THANGAMAYL,7,2
1460,THEINVEST,7,2
1461,THEMISMED,7,2
1462,THERMAX,10,3
1463,THIRUSUGAR,0,1
1464,THOMASCOOK,10,2
1465,THOMASCOTT,0,1
1466,THYROCARE,10,3
1467,TI,1,1
1468,TIDEWATER,7,1
1469,TIIL,7,2
1470,TIINDIA,10,3
1471,TIJARIA,0,1
1472,TIL,1,1
1473,TIMESGTY,7,2
1474,TIMETECHNO,10,3
1475,TIMKEN,10,3
1476,TINPLATE,10,2
1477,TIPSINDLTD,7,2
1478,TIRUMALCHM,10,2
1479,TITAN,10,3
1480,TMRVL,1,1
1481,TNPETRO,7,1
1482,TNPL,10,3
1483,TNTELE,0,1
1484,TOKYOPLAST,7,1
1485,TORNTPHARM,10,3
1486,TORNTPOWER,10,3
1487,TPLPLASTEH,1,2
1488,TREEHOUSE,0,1
1489,TREJHARA,1,2
1490,TRENT,10,3
1491,TRF,0,1
1492,TRIDENT,0,1
1493,TRIGYN,7,2
1494,TRIL,0,1
1495,TRITURBINE,10,3
1496,TRIVENI,10,3
1497,TTKHLTCARE,7,1
1498,TTKPRESTIG,10,3
1499,TTL,7,1
1500,TTML,0,1
1501,TV18BRDCST,10,2
1502,TVSELECT,0,1
1503,TVSMOTOR,10,3
1504,TVSSRICHAK,10,3
1505,TVTODAY,10,3
1506,TVVISION,0,1
1507,TWL,10,2
1508,UBL,10,3
1509,UCALFUEL,7,2
1510,UCOBANK,1,1
1511,UFLEX,10,3
1512,UFO,7,1
1513,UGARSUGAR,1,1
1514,UJAAS,0,1
1515,UJJIVAN,10,2
1516,UJJIVANSFB,10,3
1517,ULTRACEMCO,10,3
1518,UMANGDAIRY,7,2
1519,UMESLTD,0,1
1520,UNICHEMLAB,10,2
1521,UNIDT,7,2
1522,UNIENTER,7,1
1523,UNIONBANK,10,3
1524,UNITECH,0,1
1525,UNITY,0,1
1526,UNIVCABLES,7,2
1527,UNIVPHOTO,7,2
1528,UPL,10,3
1529,URJA,0,1
1530,USHAMART,10,2
1531,UTIAMC,7,1
1532,UTIBANKETF,7,1
1533,UTINEXT50,7,1
1534,UTINIFTETF,7,1
1535,UTISENSETF,7,1
1536,UTISXN50,7,2
1537,UTTAMSTL,0,1
1538,UTTAMSUGAR,7,2
1539,V2RETAIL,0,1
1540,VADILALIND,7,1
1541,VAIBHAVGBL,5,1
1542,VAKRANGEE,10,2
1543,VALIANTORG,7,2
1544,VARDMNPOLY,1,1
1545,VARROC,5,2
1546,VASCONEQ,0,1
1547,VASWANI,0,1
1548,VBL,10,3
1549,VEDL,10,2
1550,VENKEYS,10,2
1551,VENUSREM,7,2
1552,VESUVIUS,10,3
1553,VETO,1,2
1554,VGUARD,10,3
1555,VHL,7,1
1556,VICEROY,0,1
1557,VIDEOIND,0,1
1558,VIDHIING,1,1
1559,VIJIFIN,0,1
1560,VIKASECO,0,1
1561,VIKASMCORP,0,1
1562,VIKASPROP,0,1
